Trading Day,AAPL,BNTX,BRK-B,CSCO,IYK
402,144.1829224,329.1207581,277.8699951,50.99097824,56.38412476
403,142.6618042,303.0757141,279.7200012,50.53256989,56.27653503
404,139.2662659,272.905304,276.7900085,49.90338898,55.72935867
405,140.1691589,273.8132935,277.2900085,49.86743927,56.3441658
406,138.8638916,269.4214478,272.9400024,48.92365646,55.20677567
407,139.9924774,251.4593811,275.7099915,49.56182861,55.41888046
408,136.5478821,245.6463623,273.6400146,49.07318115,55.28977203
409,138.4811707,246.8504181,278.0499878,49.48944092,55.50802612
410,139.3545837,233.0531769,280.2200012,48.81075287,55.95682907
411,140.620575,243.3468475,282.9500122,49.78805161,56.20582962
412,140.237854,242.7349396,284.1400146,49.84235382,56.12899017
413,140.1495209,239.8432465,280.9299927,49.70662308,56.14128113
414,138.8737335,240.5834351,278.6199951,49.11842728,56.15665054
415,138.2849274,246.1398315,277.8999939,49.42609787,56.31956863
416,141.0818176,247.0576782,281.6400146,50.35815811,56.96512222
417,142.1416931,244.4423218,284.2099915,49.9961853,56.79605484
418,143.8198242,257.6770325,282.5899963,49.94189072,56.31650162
419,145.9886322,259.414032,284.8299866,50.43959808,56.23964691
420,146.4793396,265.8981628,287.4899902,50.85585022,56.73456573
421,146.6952515,282.6166687,286.8200073,50.39434814,56.48249435
422,145.9199524,274.7015381,289.2399902,49.86949921,56.80834198
423,145.8708954,291.0648193,290.2600098,49.89664078,56.57164383
424,146.538269,288.5679016,290.8500061,50.50293732,56.88827515
425,146.0769958,275.1259155,287.7799988,50.83775711,56.50708771
426,149.7277069,280.2678223,289.7200012,50.89204407,56.83909225
427,147.0093079,275.0864563,287.0100098,50.64772415,56.78990173
428,146.1849365,270.7341003,286.2399902,50.7653656,56.86367798
429,147.2251892,285.6959229,287.9299927,52.14082336,57.17107773
430,148.6678009,291.5484009,288.7200012,52.16797256,57.98262787
431,148.1476746,270.3590698,287.6900024,51.68836594,57.87197113
432,148.6783752,213.808075,287.8800049,51.64311981,58.23778152
433,147.8528442,239.4287415,288.7999878,51.57977676,57.73363876
434,148.2164764,223.4108887,286.3500061,51.97793579,57.84122467
435,145.3761902,232.3228455,285.3200073,52.27655792,58.12096405
